origin,dest,dayofmonth,distance
CLT,RIC,3,257
CLT,JAX,3,328
CLT,PIT,1,366
CLT,PIT,2,366
CLT,MDT,1,413
CLT,MDT,2,413
CLT,MDT,3,413
CLT,JAX,1,328
CLT,JAX,2,328
CLT,SAV,1,213
CLT,SAV,2,213
CLT,BNA,1,328
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,CHS,1,168
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,DCA,1,331
CLT,DCA,2,331
CLT,DCA,3,331
CLT,DCA,1,331
CLT,DCA,2,331
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,BNA,2,328
CLT,JAX,1,328
CLT,PIT,1,366
CLT,PIT,2,366
CLT,PIT,1,366
CLT,PIT,2,366
CLT,PIT,3,366
CLT,ORF,1,290
CLT,ORF,2,290
CLT,ORF,3,290
CLT,DCA,1,331
CLT,DCA,2,331
CLT,DCA,3,331
CLT,DCA,1,331
CLT,DCA,2,331
CLT,DCA,3,331
CLT,BWI,1,361
CLT,ILM,2,185
CLT,RIC,1,257
CLT,RIC,2,257
CLT,RIC,3,257
CLT,CHS,2,168
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,BNA,1,328
CLT,BNA,2,328
CLT,BNA,3,328
CLT,BWI,2,361
CLT,BWI,3,361
CLT,PHL,1,449
CLT,PHL,2,449
CLT,PHL,3,449
PHX,LAX,1,370
PHX,LAX,2,370
PHX,LAX,3,370
CLT,CLE,1,430
CLT,MYR,2,157
CLT,MYR,3,157
CLT,IND,1,427
CLT,IND,2,427
CLT,JAX,1,328
CLT,JAX,2,328
CLT,JAX,1,328
CLT,JAX,2,328
CLT,CHS,1,168
CLT,PHL,1,449
CLT,PHL,2,449
CLT,PHL,3,449
CLT,RDU,1,130
CLT,RDU,2,130
CLT,IAD,1,322
CLT,CLE,1,430
CLT,CLE,2,430
CLT,CLE,3,430
CLT,ORF,1,290
CLT,ORF,2,290
CLT,CLE,1,430
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
CLT,PIT,1,366
DFW,OKC,1,175
ORD,MSP,1,334
ORD,MSP,2,334
ORD,MSP,3,334
DFW,CRP,1,354
ORD,STL,1,258
ORD,STL,2,258
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
DFW,MFE,1,469
DFW,MEM,1,431
DFW,MEM,2,431
DFW,MEM,3,431
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
PHX,SNA,1,338
PHX,SNA,2,338
PHX,SNA,3,338
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
DFW,IAH,1,224
DFW,IAH,2,224
DFW,IAH,3,224
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
DFW,XNA,2,280
DFW,OKC,2,175
DFW,OKC,3,175
PHX,SNA,2,338
PHX,SNA,3,338
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
DFW,TUL,1,237
DFW,TUL,2,237
PHX,SNA,1,338
DFW,XNA,2,280
DFW,IAH,1,224
DFW,IAH,2,224
DFW,IAH,3,224
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
DFW,TUL,1,237
DFW,TUL,2,237
DFW,XNA,3,280
PHX,LAX,1,370
PHX,LAX,2,370
PHX,LAX,3,370
CLT,ATL,1,226
PHX,SAN,1,304
PHX,SAN,2,304
PHX,SAN,3,304
PHX,SAN,1,304
PHX,SAN,2,304
PHX,SAN,3,304
CLT,ATL,1,226
CLT,ATL,2,226
CLT,ATL,3,226
PHX,LAX,1,370
PHX,LAX,2,370
PHX,LAX,3,370
PHX,SNA,1,338
PHX,SNA,2,338
PHX,SNA,3,338
CLT,PHL,1,449
CLT,PHL,2,449
CLT,PHL,3,449
PHX,SAN,1,304
PHX,SAN,2,304
PHX,SAN,3,304
CLT,MCO,1,468
CLT,MCO,2,468
CLT,MCO,3,468
DFW,IAH,1,224
DFW,IAH,2,224
DFW,XNA,3,280
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
PHX,SNA,2,338
PHX,SNA,3,338
DFW,MSY,1,447
DFW,MSY,2,447
DFW,IAH,1,224
DFW,IAH,2,224
DFW,IAH,3,224
ORD,STL,1,258
ORD,STL,2,258
PHX,LAS,1,255
PHX,LAS,2,255
PHX,LAS,3,255
PHX,SNA,1,338
ORD,MCI,1,403
ORD,MCI,2,403
ORD,MCI,3,403
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
DFW,AUS,1,190
DFW,AUS,2,190
DFW,AUS,3,190
ORD,DTW,1,235
ORD,DTW,2,235
ORD,MSP,3,334
DFW,ICT,1,328
DFW,ICT,2,328
DFW,ICT,3,328
DFW,SAT,1,247
DFW,SAT,2,247
DFW,SAT,3,247
DFW,OKC,2,175
DFW,OKC,3,175
CLT,BNA,1,328
CLT,BWI,1,361
CLT,BWI,1,361
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,ABQ,1,328
PHX,BUR,1,369
PHX,BUR,1,369
PHX,BUR,1,369
PHX,BUR,1,369
PHX,BUR,1,369
PHX,BUR,1,369
PHX,ELP,1,347
PHX,ELP,1,347
PHX,ELP,1,347
PHX,ELP,1,347
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAS,1,255
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,LAX,1,370
PHX,ONT,1,325
PHX,ONT,1,325
PHX,ONT,1,325
PHX,ONT,1,325
PHX,ONT,1,325
PHX,ONT,1,325
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
PHX,SAN,1,304
